FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,8087,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,-1,0,0,0,0,0,0,0,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4600000,2,104,3.5,7.60869565217391E-07,2.26086956521739E-05,0,102878,4,33,0,0,0,0,0,22.6,3948,1,0,104,-1,1.1,0,5,9,0,10,0,4,2.2,252489,1,-1,0,1,2554,7201,0,0,536,Southampton,Watford,Aston Villa,Everton,Man Utd,2.7,3,6.5,4.3,85.4
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,3140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3266,0,-1,0,0,0,0,0,0,0,Liverpool,Man City,Arsenal,Burnley,,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,16502,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,-1,0,0,0,0,0,0,0,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,,0,0,0,0,0
,Andre Gomes,MID,EVE,4900000,0,15,1.2,2.44897959183673E-07,3.06122448979592E-06,0,17429,3,14,0,0,0,0,0,3.1,29,-1,0,15,1,0,0,0,0,0,0,0,1,0.1,8729,0,-1,0,0,498,1,0,0,39,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,0,0,0,0,28.3
Vincent,Angelini,GLK,WAT,4000000,0,0,0,0,0,0,24689,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,27529,0,-1,0,0,0,61,0,0,0,Burnley,Crystal Palace,Everton,Leicester,Chelsea,0,0,0,0,0
Michail,Antonio,FWD,WHU,7400000,1,123,3.7,5E-07,1.66216216216216E-05,0,7609902,6,38,0,0,0,8,0,16.6,27467,-1,0,123,1,0.2,1,1.8,13,0,7,0,9,26,7535759,0,-1,0,4,2750,2473,0,1,379,Arsenal,Norwich,Man City,Brighton,,4.2,3.8,3.5,3.7,232.8
Cameron,Archer,FWD,AVL,4500000,0,3,1,2.22222222222222E-07,6.66666666666667E-07,0,227153,0,0,0,0,0,0,0,0.7,309,0,0,3,0,0,0,0,0,0,0,0,0,0.8,271066,0,-1,0,0,24,0,0,0,3,Norwich,Burnley,Liverpool,Crystal Palace,Burnley,0,0,0,0,1.6
Alphonse,Areola,GLK,WHU,4700000,0,2,0.0588235294117647,1.25156445556946E-08,4.25531914893617E-07,0,202173,0,1,0,2,0,0,0,0.4,107,-3,0,2,3,0,0,0,0,0,0,0,0,0.7,143232,0,-1,0,0,90,49,0,0,11,Arsenal,Norwich,Man City,Brighton,,0,0,0,0,2
Kepa,Arrizabalaga,GLK,CHE,4500000,0,19,0.575757575757576,1.27946127946128E-07,4.22222222222222E-06,0,72683,0,2,0,11,0,0,0,4.2,155,-5,0,19,5,0,0,0,1,0,2,0,0,0.3,65164,0,-1,0,0,360,27,0,0,89,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0.3,0.6,0.3,0.3,9.6
Harrison,Ashby,DEF,WHU,4000000,0,1,0.0294117647058824,7.35294117647059E-09,2.5E-07,0,3649,0,1,0,0,0,0,0,0.2,12,0,0,1,0,0,0,0,0,0,0,0,0,0.1,4598,0,-1,0,0,6,8,0,0,4,Arsenal,Norwich,Man City,Brighton,,0,0,0,0,0.3
Pierre-Emerick,Aubameyang,FWD,ARS,9600000,0,44,3.1,3.22916666666667E-07,4.58333333333333E-06,0,898898,3,16,0,0,0,4,0,4.6,122,-4,0,44,4,0,2,0,7,0,6,0,1,1.2,742898,0,-1,0,0,1036,0,0,0,131,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,92.9
Serge,Aurier,DEF,TOT,4900000,0,0,0,0,0,0,47771,0,0,0,0,0,0,0,0,6,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,7608,0,-1,0,0,0,0,0,0,0,Leicester,Liverpool,Arsenal,Burnley,Norwich,0,0,0,0,0
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,-1,0,0,0,17,0,0,0,Leicester,Liverpool,Arsenal,Burnley,Norwich,0,0,0,0,0
Zach,Awe,DEF,ARS,4000000,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,-1,0,0,0,44,0,0,0,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5800000,2,72,2.4,4.13793103448276E-07,1.24137931034483E-05,0,345587,1,28,0,0,0,2,0,12.4,1417,-2,0,72,2,0.5,0,3,3,0,9,0,4,1,353534,0,-1,0,0,1922,1425,0,0,256,Southampton,Watford,Aston Villa,Everton,Man Utd,1.7,2.7,3.4,2.4,111.7
Luke,Ayling,DEF,LEE,4300000,0,58,2.3,5.34883720930233E-07,1.34883720930233E-05,0,1279572,4,64,0,0,0,2,0,13.5,1144,-2,0,58,2,1.1,0,4.7,8,0,2,0,3,3.1,631648,0,-1,0,1,2246,3014,0,0,410,Man City,Arsenal,Chelsea,Brighton,Brentford F.C.,2.7,4.5,2.1,2.3,102.5
Miguel,Azeez,MID,ARS,4500000,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,-1,0,0,0,16,0,0,0,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,5600000,1,82,3.6,6.42857142857143E-07,1.46428571428571E-05,0,1010331,2,21,0,0,0,1,0,14.6,830,-4,0,82,4,0.5,0,2.8,2,0,7,0,3,3.3,894282,0,-1,0,1,1861,1071,0,0,418,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,3.9,8.1,3.7,2.7,93.6
Kwadwo,Baah,MID,WAT,4300000,0,0,0,0,0,0,19022,0,0,0,0,0,0,0,0,107,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,17815,0,-1,0,0,0,141,0,0,0,Burnley,Crystal Palace,Everton,Leicester,Chelsea,0,0,0,0,0
Daniel,Bachmann,GLK,WAT,4000000,0,22,0.666666666666667,1.66666666666667E-07,5.5E-06,0,433083,0,26,0,41,0,0,0,5.5,1090,-5,0,22,5,0,0,0,0,0,0,0,0,1.3,373995,0,-1,0,0,990,251,0,0,175,Burnley,Crystal Palace,Everton,Leicester,Chelsea,0.3,0.6,0.3,0.4,30.2
Leon,Bailey,MID,AVL,6300000,1,37,1.15625,1.83531746031746E-07,5.87301587301587E-06,0,249089,3,13,0,0,0,1,0,5.9,238,-2,0,37,2,0.2,0,1.3,1,0,2,0,3,0.4,82474,0,-1,0,0,750,32,0,0,98,Norwich,Burnley,Liverpool,Crystal Palace,Burnley,0,0,0,0.6,53.2
Eric,Bailly,DEF,MUN,4900000,0,2,0.0571428571428571,1.16618075801749E-08,4.08163265306122E-07,0,18155,1,4,0,0,0,0,0,0.4,30,-1,0,2,1,0,0,0,0,0,0,0,0,0.1,11953,1,-1,0,0,216,41,0,0,22,Brentford F.C.,Brighton,Crystal Palace,,,0,0,0,0,3.7
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Southampton,Everton,Leeds United F.C.,,0,0,0,0,0
Folarin,Balogun,FWD,ARS,4700000,0,2,1,2.12765957446809E-07,4.25531914893617E-07,0,81476,0,1,0,0,0,0,0,0.4,30,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,62383,0,-1,0,0,69,0,0,0,2,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,1.9
Patrick,Bamford,FWD,LEE,7700000,0,28,3.1,4.02597402597403E-07,3.63636363636364E-06,0,2046032,2,14,0,0,0,2,0,3.6,184,-3,0,28,3,0,0,0,2,0,0,0,2,2.9,904121,0,-1,0,0,557,19,0,0,90,Man City,Arsenal,Chelsea,Brighton,Brentford F.C.,0,0,2.9,2.8,47.9
Scott,Banks,MID,CRY,4500000,0,0,0,0,0,0,5801,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6650,0,-1,0,0,0,10,0,0,0,Southampton,Watford,Aston Villa,Everton,Man Utd,0,0,0,0,0
Jamal,Baptiste,DEF,WHU,3900000,0,0,0,0,0,0,22475,0,0,0,0,0,0,0,0,111,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,27216,0,-1,0,0,0,163,0,0,0,Arsenal,Norwich,Man City,Brighton,,0,0,0,0,0
Shandon,Baptiste,MID,BRE,4900000,0,33,0.970588235294118,1.98079231692677E-07,6.73469387755102E-06,0,10299,0,14,0,0,0,1,0,6.7,11,-1,0,33,1,0,0,0,2,0,2,0,0,0,8884,0,-1,0,0,870,4,0,1,113,Man Utd,Southampton,Everton,Leeds United F.C.,,0.5,0.5,0.5,0.5,39.4
Phil,Bardsley,DEF,BUR,3900000,0,0,0,0,0,0,72211,0,0,0,0,0,0,0,0,90,-1,0,0,1,0,0,0,0,0,0,0,0,0.5,42706,0,-1,0,0,0,54,0,0,0,Watford,Aston Villa,Tottenham,Aston Villa,Newcastle,0,0,0,0,0
Ross,Barkley,MID,CHE,5200000,0,7,0.212121212121212,4.07925407925408E-08,1.34615384615385E-06,0,13186,0,1,0,0,0,0,0,1.3,22,-3,0,7,3,0,0,0,0,0,1,0,0,0.1,5816,0,-1,0,0,150,3,0,0,18,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0,0.2,0.1,0.1,16.3
Ashley,Barnes,FWD,BUR,5200000,1,18,0.545454545454545,1.04895104895105E-07,3.46153846153846E-06,0,235301,4,12,0,0,0,0,0,3.5,324,-3,0,18,3,0.1,0,0.3,0,0,1,0,0,0.7,132140,0,-1,0,0,485,491,0,0,15,Watford,Aston Villa,Tottenham,Aston Villa,Newcastle,0.3,0.3,0.6,0.3,24.9
Harvey,Barnes,MID,LEI,6500000,0,104,3.9,6E-07,1.6E-05,0,1263723,2,29,0,0,0,4,0,16,4333,-5,1,104,5,0.4,0,2.8,9,0,6,0,8,3.6,608883,0,-1,0,1,1767,3329,-1,0,273,Tottenham,Everton,Norwich,Watford,Chelsea,2.9,9.2,7.6,4.6,160
Lewis,Bate,MID,LEE,4500000,0,1,0.0303030303030303,6.73400673400673E-09,2.22222222222222E-07,0,129011,0,2,0,0,0,0,0,0.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,131361,0,-1,0,0,42,1,0,0,2,Man City,Arsenal,Chelsea,Brighton,Brentford F.C.,0,0,0,0,0.7
Michy,Batshuayi,FWD,CHE,5500000,0,0,0,0,0,0,14279,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,-1,0,0,0,0,0,0,0,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0,0,0,0,0
Owen,Beck,DEF,LIV,4000000,0,0,0,0,0,0,21252,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21227,0,-1,0,0,0,7,0,0,0,Newcastle,Tottenham,Aston Villa,Southampton,Wolverhampton,0,0,0,0,0
Jan,Bednarek,DEF,SOU,4400000,0,93,3.1,7.04545454545455E-07,2.11363636363636E-05,0,236260,10,49,0,0,0,4,0,21.1,3833,-1,0,93,1,0.6,0,2.8,15,0,7,0,0,1.6,286673,1,-1,0,2,2539,1111,0,0,484,Crystal Palace,Brentford F.C.,Liverpool,Leicester,,3.3,3.3,4.6,2.3,109
Asmir,Begovic,GLK,EVE,4000000,0,12,0.375,9.375E-08,3E-06,0,214817,0,3,0,7,0,0,0,3,871,0,0,12,0,0,0,0,3,0,1,0,0,2.4,228129,0,-1,0,0,180,175,0,0,43,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,0.2,0.4,0.4,0.2,5.3
Hector,Bellerin,DEF,ARS,4800000,0,0,0,0,0,0,70734,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,3737,0,-1,0,0,0,0,0,0,0,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,0
Said,Benrahma,MID,WHU,5900000,2,122,3.58823529411765,6.08175473579262E-07,2.06779661016949E-05,0,4222879,0,27,0,0,0,6,0,20.7,4768,-1,0,122,1,0.3,0,1.8,12,0,8,0,6,11.3,4281797,0,-1,0,3,2087,1052,0,0,402,Arsenal,Norwich,Man City,Brighton,,3.5,3.3,2.6,3.1,165.4
Josh,Benson,MID,BUR,4500000,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Watford,Aston Villa,Tottenham,Aston Villa,Newcastle,0,0,0,0,0
Rodrigo,Bentancur,MID,TOT,4900000,2,30,0.909090909090909,1.85528756957328E-07,6.12244897959184E-06,0,11236,5,11,0,0,0,0,0,6.1,175,-1,0,30,1,0.4,0,2,2,0,6,0,1,0.1,16754,0,-1,0,0,1018,183,0,0,166,Leicester,Liverpool,Arsenal,Burnley,Norwich,0.5,1,0.5,0.5,44.7
Christian,Benteke,FWD,CRY,5900000,0,56,1.6969696969697,2.87621982537237E-07,9.49152542372881E-06,0,543007,3,19,0,0,0,4,0,9.5,469,-6,0,56,6,0,0,0.2,6,0,4,0,1,1.2,501028,0,-1,0,1,1111,178,0,0,169,Southampton,Watford,Aston Villa,Everton,Man Utd,0.9,1.6,1.9,1.4,92.6
Steven,Bergwijn,MID,TOT,5900000,1,52,1.57575757575758,2.67077555213148E-07,8.8135593220339E-06,0,174233,1,6,0,0,0,3,0,8.8,137,-1,0,52,1,0.3,0,1.8,3,0,3,0,2,0.4,153459,0,-1,0,1,512,77,0,0,133,Leicester,Liverpool,Arsenal,Burnley,Norwich,0.9,1.6,1.2,1,52.7
,Bernard,MID,EVE,5500000,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,0,0,0,0,0
,Bernardo,DEF,BHA,4000000,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,,0,0,0,0,0
,Bernardo,MID,MCI,7000000,1,146,4.6,6.57142857142857E-07,2.08571428571429E-05,0,3281525,6,19,0,0,0,8,0,20.9,15721,0,0,146,0,0.5,0,3.5,15,0,16,0,7,14.8,4341485,0,-1,0,3,2609,11404,0,0,611,Leeds United F.C.,Newcastle,Wolverhampton,West Ham,Aston Villa,4.5,11.3,3.6,5,239.9
Ryan,Bertrand,DEF,LEI,4600000,0,4,1,2.17391304347826E-07,8.69565217391304E-07,0,149535,1,7,0,0,0,0,0,0.9,21,-4,0,4,4,0,0,0,0,0,0,0,0,0.3,19396,0,-1,0,0,337,2,0,0,32,Tottenham,Everton,Norwich,Watford,Chelsea,0,0,0,0,7.2
Marcus,Bettinelli,GLK,CHE,4000000,0,0,0,0,0,0,5071,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6456,0,-1,0,0,0,11,0,0,0,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0,0,0,0,0
Mads,Bidstrup,MID,BRE,4400000,0,4,1,2.27272727272727E-07,9.09090909090909E-07,0,11339,0,0,0,0,0,0,0,0.9,10,-1,0,4,1,0,0,0,0,0,0,0,0,0.1,7635,0,-1,0,0,36,0,0,0,11,Man Utd,Southampton,Everton,Leeds United F.C.,,0,0,0,0,0.8
Mika,Biereth,FWD,ARS,4500000,0,0,0,0,0,0,13032,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0.2,27737,0,-1,0,0,0,812,0,0,0,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,0
Yves,Bissouma,MID,BHA,4400000,11,54,2.3,5.22727272727273E-07,1.22727272727273E-05,0,1772194,10,26,0,0,0,1,0,12.3,569,-1,0,54,1,0.7,0,3,6,0,6,0,1,4.7,1158920,0,-1,0,1,1885,1046,0,0,302,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,,2.1,1.3,1.6,1.5,63.5
Lamare,Bogarde,DEF,AVL,4000000,0,0,0,0,0,0,9333,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,11646,0,-1,0,0,0,20,0,0,0,Norwich,Burnley,Liverpool,Crystal Palace,Burnley,0,0,0,0,0
Willy,Boly,DEF,WOL,4900000,1,13,0.393939393939394,8.0395794681509E-08,2.6530612244898E-06,0,14977,1,9,0,0,0,0,0,2.7,142,-1,0,13,1,0.3,0,1.7,0,0,1,0,0,0.1,11836,0,-1,0,0,540,152,0,0,97,Brighton,Chelsea,Man City,Norwich,Liverpool,0.2,0.4,0.2,0.2,13.6
Jamie,Bowden,MID,TOT,4500000,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,-1,0,0,0,13,0,0,0,Leicester,Liverpool,Arsenal,Burnley,Norwich,0,0,0,0,0
Jarrod,Bowen,MID,WHU,6900000,6,177,5.4,7.82608695652174E-07,2.56521739130435E-05,0,3522765,4,41,0,0,0,10,0,25.7,16555,4,0,177,-4,0.7,0,4.8,19,0,7,0,14,11.9,4382843,0,-1,0,5,2717,14238,0,0,505,Arsenal,Norwich,Man City,Brighton,,6.4,6.1,5,5.8,240.6
Conor,Bradley,DEF,LIV,4000000,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,-1,0,0,0,1,0,0,0,Newcastle,Tottenham,Aston Villa,Southampton,Wolverhampton,0,0,0,0,0
Jarrad,Branthwaite,DEF,EVE,4000000,0,10,0.3125,7.8125E-08,2.5E-06,0,45727,0,9,0,0,0,1,0,2.5,143,0,0,10,0,0,0,0.2,1,0,0,0,0,0.3,55726,0,-1,0,0,280,73,0,0,46,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,0.2,0.4,0.4,0.2,11.7
Nathan,Broadhead,FWD,EVE,4500000,0,0,0,0,0,0,5377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4128,0,-1,0,0,0,0,0,0,0,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,0,0,0,0,0
