FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Nathan,Ake,DEF,MCI,5400000,0,21,0.84,1.55555555555556E-07,3.88888888888889E-06,0,623717,3,7,0,0,0,1,0,3.9,1115,-1,0,21,1,0,0,0,1,0,2,0,0,2.4,261953,0,-1,0,0,469,20,0,0,97,West Ham,Wolverhampton,Man Utd,Southampton,Fulham,0,0,0,0,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.6
Marc,Albrighton,MID,LEI,5200000,2,42,1.68,3.23076923076923E-07,8.07692307692308E-06,0,19222,2,12,0,0,0,0,0,8.1,173,-3,0,42,3,0.2,0,1,0,0,4,0,3,0.1,10732,0,-1,0,0,1177,305,0,0,181,Arsenal,Burnley,Brighton,Sheffield United,Man City,2.1,1.2,1.5,0,0.8,0.9,1,0.8,0.9,1,0.8,1,0.8,75
Toby,Alderweireld,DEF,TOT,5400000,12,67,4.2,7.77777777777778E-07,1.24074074074074E-05,0,261954,2,12,0,0,0,1,0,12.4,1190,-1,0,67,1,0.6,0,3.2,4,0,8,0,0,1.7,166379,1,-1,0,1,1430,1273,0,0,319,Burnley,Fulham,Crystal Palace,Arsenal,Aston Villa,9.6,5.1,5.6,5.4,4.2,5,4.7,0,4.9,4.4,5.9,5.1,5.1,53.9
Trent,Alexander-Arnold,DEF,LIV,7400000,9,82,3.4,4.59459459459459E-07,1.10810810810811E-05,0,3595174,1,33,0,0,0,1,0,11.1,7298,-1,0,82,1,0.3,0,2.2,10,0,5,0,3,13.8,935512,0,-1,0,1,2025,6222,0,0,448,Sheffield United,Chelsea,Fulham,Wolverhampton,Arsenal,6.3,3.7,4.1,0,4.2,3.7,3.2,3.2,4,3.3,4,3.3,3.8,146.3
Ezgjan,Alioski,DEF,LEE,4400000,1,66,2.8,6.36363636363636E-07,1.5E-05,0,319048,3,28,0,0,0,2,0,15,4316,-1,0,66,1,0.3,0,1.5,6,0,6,0,0,2,414700,0,-1,0,2,1478,838,0,0,291,Aston Villa,West Ham,Chelsea,Fulham,Sheffield United,2.8,3,2.3,2.9,2.7,3.3,3.1,2.8,2.8,2.4,2.4,2.1,2.9,71.9
,Alisson,GLK,LIV,5900000,0,75,3.6,6.10169491525424E-07,1.27118644067797E-05,0,1050913,1,24,0,45,0,0,0,12.7,4217,-1,0,75,1,0.1,0,0.7,6,0,5,0,0,6,438974,0,-1,1,1,1890,1295,0,0,369,Sheffield United,Chelsea,Fulham,Wolverhampton,Arsenal,6.9,4,4.5,0,4.6,4,3.5,3.4,4.4,3.6,4.4,3.6,4.1,42.9
,Allan,MID,EVE,5200000,4,25,1.04166666666667,2.00320512820513E-07,4.80769230769231E-06,0,167754,4,16,0,0,0,0,0,4.8,148,-3,0,25,3,0.1,0,0.6,0,0,3,0,0,0.6,82114,0,-1,0,0,1150,117,0,0,155,Southampton,West Brom,Chelsea,Burnley,Crystal Palace,1.1,0.5,0.5,0,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,31.7
Bamidele,Alli,MID,TOT,7400000,7,13,0.541666666666667,7.31981981981982E-08,1.75675675675676E-06,0,251442,0,2,0,0,0,0,0,1.8,627,-6,0,13,6,0.2,0,1.5,0,0,1,0,1,0.6,27696,0,-1,0,0,203,1033,0,0,36,Burnley,Fulham,Crystal Palace,Arsenal,Aston Villa,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,9.4
Miguel,Almiron,MID,NEW,5600000,1,73,3,5.35714285714286E-07,1.30357142857143E-05,0,105504,1,31,0,0,0,4,0,13,3441,-4,0,73,4,0.8,0,4.4,7,0,3,0,1,0.4,60809,0,-1,0,1,1578,501,0,0,277,Wolverhampton,West Brom,Aston Villa,Brighton,Tottenham,0,0,0,0,2.1,2.9,2.4,1.9,2.2,2.2,1.9,3.8,2.6,103.1
Marcos,Alonso,DEF,CHE,5700000,0,31,1.24,2.17543859649123E-07,5.43859649122807E-06,0,291313,2,7,0,0,0,1,0,5.4,8695,-3,0,31,3,0.4,0,2.5,3,0,3,0,0,3.2,275576,0,-1,0,1,613,2317,0,0,129,Man Utd,Liverpool,Everton,Leeds United F.C.,West Brom,1.7,0.6,0.6,0,0.8,0.6,0.7,0.8,0.8,0.9,0.9,0.7,0.8,44.3
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,-1,0,0,0,82,0,0,0,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4200000,0,28,1.12,2.66666666666667E-07,6.66666666666667E-06,0,183873,2,14,0,0,0,1,0,6.7,1060,-3,0,28,3,0.7,0,2.8,3,0,4,0,0,0.7,194571,0,-1,0,1,716,2317,0,0,110,West Brom,Leicester,Southampton,Newcastle,Man Utd,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,32.6
Daniel,Amartey,DEF,LEI,3900000,3,10,0.4,1.02564102564103E-07,2.56410256410256E-06,0,138548,1,7,0,0,0,0,0,2.6,949,-1,0,10,1,0.3,0,1.2,0,0,0,0,0,1,100842,0,-1,0,0,493,1904,0,0,82,Arsenal,Burnley,Brighton,Sheffield United,Man City,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.2
Ethan,Ampadu,DEF,SHU,4300000,8,43,1.72,4E-07,1E-05,0,79091,1,29,0,0,0,0,0,10,500,-2,0,43,2,0.5,0,2.2,4,0,2,0,0,0.5,49775,0,-1,0,1,1690,816,0,0,287,Liverpool,Aston Villa,Southampton,Leicester,Leeds United F.C.,3,1.3,1.2,0,1,1.5,1.4,1.2,1,1.5,1,0.9,1.2,62.1
Joachim,Andersen,DEF,FUL,4500000,8,72,3.4,7.55555555555556E-07,1.6E-05,0,8665,3,19,0,0,0,0,0,16,579,0,0,72,0,1.1,0,5,6,0,8,0,1,0.2,19286,0,-1,0,1,1861,2062,0,1,367,Crystal Palace,Tottenham,Liverpool,Man City,Leeds United F.C.,6.7,4.2,4.6,3.1,4.1,4.6,4.2,0,3,3.1,2.9,4,3.2,51.5
Elliot,Anderson,MID,NEW,4500000,0,1,0.04,8.88888888888889E-09,2.22222222222222E-07,0,2750,0,0,0,0,0,0,0,0.2,60,0,0,1,0,0,0,0,0,0,0,0,0,0,3286,0,-1,0,0,3,53,0,0,3,Wolverhampton,West Brom,Aston Villa,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,30888,0,0,0,0,0,0,0,0,96,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,13234,0,-1,0,0,0,96,0,0,0,West Brom,Leicester,Southampton,Newcastle,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,6,35,1.8,3.39622641509434E-07,6.60377358490566E-06,0,42805,3,17,0,0,0,0,0,6.6,96,-2,0,35,2,0.3,0,1.7,0,0,4,0,1,0.2,23723,0,-1,0,0,1191,89,0,0,155,Southampton,West Brom,Chelsea,Burnley,Crystal Palace,2.5,1.2,1,0,0.9,1.4,0.9,1.2,0.9,1.1,1.5,0.9,0.9,32.4
,Anguissa,MID,FUL,4500000,4,61,2.3,5.11111111111111E-07,1.35555555555556E-05,0,411940,5,25,0,0,0,0,0,13.6,1793,0,0,61,0,0.3,0,1.4,4,0,6,0,3,1.5,446484,0,-1,0,0,1907,2363,0,0,322,Crystal Palace,Tottenham,Liverpool,Man City,Leeds United F.C.,2.6,1.3,1.2,1.5,1.4,1.7,1.6,0,1.5,1.9,1.5,1.3,1.8,88.5
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,-1,0,0,0,10,0,0,0,Man Utd,Liverpool,Everton,Leeds United F.C.,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6500000,6,78,4.6,7.07692307692308E-07,1.2E-05,0,2078847,2,17,0,0,0,7,0,12,8117,0,0,78,0,0.7,0,4.6,13,0,4,0,3,10.8,2203138,0,-1,0,1,1239,58422,0,0,230,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,3.8,5,5,4.8,4.6,4.7,5.9,4.7,5,4.5,5.5,5.6,5.8,126.2
Alphonse,Areola,GLK,FUL,4500000,8,99,3.8,8.44444444444444E-07,2.2E-05,0,247248,0,30,0,86,0,0,0,22,4197,0,0,99,0,1,0,4.3,7,0,8,0,0,4.7,485978,0,-1,0,1,2340,4889,0,0,484,Crystal Palace,Tottenham,Liverpool,Man City,Leeds United F.C.,7.8,4.9,5.2,3.6,4.7,5.3,4.9,0,3.6,3.7,3.4,4.7,3.7,61.8
Stuart,Armstrong,MID,SOU,5500000,1,74,3.5,6.36363636363636E-07,1.34545454545455E-05,0,117286,2,32,0,0,0,3,0,13.5,646,0,0,74,0,0.3,0,1.7,4,0,7,0,3,0.4,111516,0,-1,0,1,1732,2593,0,0,269,Everton,Sheffield United,Man City,Brighton,Burnley,3.4,5.7,3.4,0,4,3.3,3.4,0,2.7,2.3,3.5,3.3,2.6,90.5
Kepa,Arrizabalaga,GLK,CHE,4700000,0,15,0.6,1.27659574468085E-07,3.19148936170213E-06,0,173200,0,6,0,12,0,0,0,3.2,392,-3,0,15,3,0.3,0,1.5,2,0,1,0,0,0.6,49516,0,-1,0,0,360,117,0,0,69,Man Utd,Liverpool,Everton,Leeds United F.C.,West Brom,0.6,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.8
Ryan,Astley,DEF,EVE,4000000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,-1,0,0,0,22,0,0,0,Southampton,West Brom,Chelsea,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5200000,0,0,0,0,0,0,6131,0,0,0,0,0,0,0,0,5,-3,0,0,3,0,0,0,0,0,0,0,0,0,927,0,-1,0,0,0,0,0,0,0,Wolverhampton,West Brom,Aston Villa,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick,Aubameyang,MID,ARS,11300000,1,96,4.4,3.89380530973451E-07,8.49557522123894E-06,0,3312567,2,19,0,0,0,8,0,8.5,5075,-7,0,96,7,0.5,0,6,9,0,7,0,1,6.7,639438,1,-1,0,2,1761,14642,0,0,270,Leicester,Burnley,Tottenham,West Ham,Liverpool,4.3,5.4,3.6,4.3,3.3,5.8,4.4,3.8,4.8,4.8,4.4,3.9,4.3,128.8
Serge,Aurier,DEF,TOT,5200000,6,61,2.54166666666667,4.88782051282051E-07,1.17307692307692E-05,0,443835,0,13,0,0,0,2,0,11.7,686,-3,0,61,3,0.4,0,2.3,2,0,5,0,1,1.4,269868,0,-1,0,0,1155,1633,0,0,268,Burnley,Fulham,Crystal Palace,Arsenal,Aston Villa,4.5,2.5,2.8,2.6,1.9,2.4,2.2,0,2.3,2,3.1,2.4,2.4,64.4
Charlie,Austin,FWD,WBA,5100000,0,5,1,1.96078431372549E-07,9.80392156862745E-07,0,72788,0,5,0,0,0,0,0,1,64,-4,0,5,4,0,0,0,0,0,0,0,0,0.1,16185,0,-1,0,0,135,0,0,0,10,Brighton,Everton,Newcastle,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Jordan,Ayew,FWD,CRY,5600000,4,56,2.4,4.28571428571429E-07,1E-05,0,524400,1,27,0,0,0,1,0,10,2413,-4,0,56,4,0.4,0,2.3,2,0,5,0,4,1.7,200178,0,-1,0,0,1483,1481,0,0,174,Fulham,Man Utd,Tottenham,West Brom,Everton,3.9,1.6,2.2,0,2,1.8,1.7,1.9,1.7,1.9,1.6,1.9,2,74
Luke,Ayling,DEF,LEE,4400000,2,63,2.4,5.45454545454545E-07,1.43181818181818E-05,0,464445,5,44,0,0,0,0,0,14.3,2178,-1,0,63,1,0.6,0,2.7,1,0,8,0,0,2.4,361027,0,-1,0,0,2319,1887,0,0,468,Aston Villa,West Ham,Chelsea,Fulham,Sheffield United,2.2,2.4,1.8,2.3,2.1,2.6,2.4,2.2,2.2,1.9,1.9,1.6,2.3,120.7
Cesar,Azpilicueta,DEF,CHE,5700000,6,75,3,5.26315789473684E-07,1.31578947368421E-05,0,528300,4,9,0,0,0,1,0,13.2,4478,-3,0,75,3,0.6,0,3.7,6,0,9,0,1,4.9,358529,0,-1,0,1,1310,7309,0,0,322,Man Utd,Liverpool,Everton,Leeds United F.C.,West Brom,6.6,2.1,2.5,0,3.3,2.6,2.9,3.2,3.2,3.5,3.4,2.8,3.2,65.2
Eric,Bailly,DEF,MUN,4800000,8,27,1.08,2.25E-07,5.625E-06,0,77645,2,11,0,0,0,0,0,5.6,400,-2,0,27,2,0.3,0,1.3,6,0,3,0,0,0.3,71164,0,-1,0,0,638,189,0,0,144,Chelsea,Crystal Palace,Man City,West Ham,Brighton,1,0.8,0.6,0,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.6,0.7,16.4
Fabian,Balbuena,DEF,WHU,4200000,0,40,3.3,7.85714285714286E-07,9.52380952380952E-06,0,283269,1,16,0,0,0,1,0,9.5,635,-3,0,40,3,0,0,0,0,0,4,0,0,0.7,300465,0,-1,0,0,1080,215,0,0,185,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,4.1,3,3.8,3.8,3.9,3.1,2.9,3.1,3.1,2.4,3.5,3.8,3.3,32.4
George,Baldock,DEF,SHU,4900000,12,42,1.9,3.87755102040816E-07,8.57142857142857E-06,0,312428,4,33,0,0,0,0,0,8.6,359,-6,0,42,6,0.5,0,2.6,2,0,1,0,2,0.8,50262,0,-1,0,0,1933,606,0,0,226,Liverpool,Aston Villa,Southampton,Leicester,Leeds United F.C.,3.5,1.5,1.4,0,1.1,1.8,1.6,1.5,1.2,1.7,1.2,1.1,1.4,65.8
Gareth,Bale,MID,TOT,9300000,21,43,1.79166666666667,1.92652329749104E-07,4.62365591397849E-06,0,161692,1,6,0,0,0,3,0,4.6,1693,-2,0,43,2,0.5,0,4.3,6,0,3,0,2,1.3,242437,0,-1,0,1,427,68822,0,0,125,Burnley,Fulham,Crystal Palace,Arsenal,Aston Villa,2.5,1,1,0.9,1.1,0.9,1.3,0,1.8,1,1.2,0.9,1,44.5
Patrick,Bamford,FWD,LEE,6800000,2,142,5.5,8.08823529411765E-07,2.08823529411765E-05,0,3470303,1,42,0,0,0,13,0,20.9,40896,13,1,142,-13,0.6,0,3.8,16,0,8,0,8,52.5,6834628,0,-1,0,3,2235,29145,-1,0,474,Aston Villa,West Ham,Chelsea,Fulham,Sheffield United,5.5,6,6,6.8,7.6,5.2,6.9,6,7.1,6.2,6.5,6.5,7,200.6
Jamal,Baptiste,DEF,WHU,4000000,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,-1,0,0,0,45,0,0,0,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,2,0.08,1.81818181818182E-08,4.54545454545455E-07,0,42966,2,8,0,0,0,0,0,0.5,74,-1,0,2,1,0,0,0.1,0,0,0,0,0,0.2,12878,0,-1,0,0,273,24,0,0,28,Tottenham,Leicester,Arsenal,Everton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
Ross,Barkley,MID,AVL,5900000,1,59,2.56521739130435,4.34782608695652E-07,1E-05,0,492028,0,16,0,0,0,3,0,10,2118,-1,0,59,1,0.3,0,1.8,4,0,7,0,1,0.9,502221,0,-1,0,1,1129,921,0,0,208,Leeds United F.C.,Sheffield United,Wolverhampton,Newcastle,Tottenham,4.8,2,2.1,1.5,1.9,1.6,1.4,2.1,2.4,1.3,1.6,1.7,1.9,100.6
Ashley,Barnes,FWD,BUR,6000000,0,48,2.7,4.5E-07,8E-06,0,136175,4,17,0,0,0,3,0,8,4286,0,0,48,0,0.3,0,1.9,7,0,6,0,0,0.5,159843,0,-1,0,0,1290,78,0,0,100,Tottenham,Leicester,Arsenal,Everton,Southampton,0,0,0,0,2.2,2.9,2.3,2,2,2.4,2.2,2.4,2.6,88.1
Harvey,Barnes,MID,LEI,6900000,1,126,5,7.2463768115942E-07,1.82608695652174E-05,0,1577018,0,25,0,0,0,9,0,18.3,442069,-1,0,126,1,0.8,0,5.3,13,0,7,0,5,16.8,2577910,0,-1,0,2,1944,21607,0,0,348,Arsenal,Burnley,Brighton,Sheffield United,Man City,0,0,0,0,0,5.4,5.5,4.9,5.4,5.4,4.9,5.5,4.2,172.7
Kyle,Bartley,DEF,WBA,4400000,17,57,3,6.81818181818182E-07,1.29545454545455E-05,0,27850,3,33,0,0,0,3,0,13,1218,-1,0,57,1,1.1,0,5,3,0,3,0,1,0.2,31549,0,-1,0,1,1599,5581,0,0,285,Brighton,Everton,Newcastle,Crystal Palace,Chelsea,4.6,2.6,2.8,0,2.5,2.8,3.2,3.4,3.9,3.6,3.4,3.3,2.7,63.2
Chris,Basham,DEF,SHU,4600000,0,38,1.5,3.26086956521739E-07,8.26086956521739E-06,0,145809,3,39,0,0,0,0,0,8.3,1042,-4,0,38,4,0,0,0.2,2,0,0,0,1,0.5,39889,0,-1,0,0,2036,20,0,0,296,Liverpool,Aston Villa,Southampton,Leicester,Leeds United F.C.,0,0,0,0,0.8,1.2,1.1,1,0.8,1.2,0.8,0.8,0.9,71.7
Michy,Batshuayi,FWD,CRY,5700000,0,34,1.36,2.3859649122807E-07,5.96491228070175E-06,0,181285,0,14,0,0,0,1,0,6,658,-3,0,34,3,0.1,0,0.8,1,0,2,0,2,0.6,69497,0,-1,0,0,693,223,0,0,83,Fulham,Man Utd,Tottenham,West Brom,Everton,1.5,0.7,0.9,0,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,39.6
Jan,Bednarek,DEF,SOU,4900000,2,81,3.1,6.3265306122449E-07,1.6530612244898E-05,0,1100489,3,41,0,0,0,1,0,16.5,9262,4,0,81,-4,-0.1,0,-0.3,11,0,8,0,1,6.6,1376511,1,-1,0,2,2245,6527,0,1,453,Everton,Sheffield United,Man City,Brighton,Burnley,2.7,5.9,3.2,0,3,3.2,3.6,0,3.1,3.4,3.5,2.9,3.2,69.2
Hector,Bellerin,DEF,ARS,5100000,0,83,3.8,7.45098039215686E-07,1.62745098039216E-05,0,1041425,8,23,0,0,0,1,0,16.3,6397,1,0,83,-1,0.6,0,3,15,0,6,0,3,4.3,973392,0,-1,0,3,1910,5741,0,0,385,Leicester,Burnley,Tottenham,West Ham,Liverpool,4.6,4,3.7,4.8,4.6,3.9,4.2,2.8,3.7,4.4,3.7,4.1,3.8,86.2
Filip,Benkovic,DEF,LEI,4300000,0,0,0,0,0,0,4999,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0,296,0,-1,0,0,0,0,0,0,0,Arsenal,Burnley,Brighton,Sheffield United,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bennett,DEF,WOL,4400000,0,0,0,0,0,0,28089,0,0,0,0,0,0,0,0,23,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3905,0,-1,0,0,0,0,0,0,0,Newcastle,Man City,Aston Villa,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,1,40,1.6,2.66666666666667E-07,6.66666666666667E-06,0,56366,0,11,0,0,0,0,0,6.7,550,0,0,40,0,0.4,0,2.4,0,0,2,0,4,0.2,63110,0,-1,0,0,877,378,0,0,140,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.1,0.8,1,1.1,1,63.7
Josh,Benson,MID,BUR,4500000,0,10,0.4,8.88888888888889E-08,2.22222222222222E-06,0,3719,0,7,0,0,0,0,0,2.2,27,0,0,10,0,0,0,0.1,0,0,1,0,0,0,4118,0,-1,0,0,260,18,0,0,27,Tottenham,Leicester,Arsenal,Everton,Southampton,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.7
Christian,Benteke,FWD,CRY,5500000,4,55,2.8,5.09090909090909E-07,1E-05,0,135505,0,16,0,0,0,4,0,10,1558,0,0,55,0,0.5,0,2.7,6,0,3,0,2,0.7,156710,0,-1,0,2,987,1604,0,1,150,Fulham,Man Utd,Tottenham,West Brom,Everton,5,2.1,2.8,0,2.6,2.3,2.1,2.4,2.2,2.5,2.1,2.4,2.5,89
Sander,Berge,MID,SHU,4900000,0,29,2.2,4.48979591836735E-07,5.91836734693878E-06,0,31307,4,19,0,0,0,1,0,5.9,74,-1,0,29,1,0,0,0,1,0,0,0,1,0.1,23730,0,-1,0,0,1015,59,0,0,148,Liverpool,Aston Villa,Southampton,Leicester,Leeds United F.C.,0,0,0,0,1.3,1.4,1.2,1.6,1.1,1.6,1.7,1.4,1.9,47
Steven,Bergwijn,MID,TOT,7000000,0,39,1.625,2.32142857142857E-07,5.57142857142857E-06,0,108838,2,11,0,0,0,0,0,5.6,472,-5,0,39,5,0.1,0,0.5,0,0,5,0,3,0.4,33142,0,-1,0,0,1018,264,0,0,78,Burnley,Fulham,Crystal Palace,Arsenal,Aston Villa,2.1,0.9,0.9,0.8,0.9,0.8,1.1,0,1.5,0.9,1,0.8,0.8,34.1
